player,position,team,week,year,passing_td,passing_yd,perc_throws,rushing_td,rushing_yd,rec_td,rec_yd,receptions,fgmd,fgyd,perc_fg,tackles,sacks,ints
K.Rudolph,TE,MIN,3,2012,0,0,0,0,0,2,36,5,0,0,0,0,0,0
R.Succop,K,KC,3,2012,0,0,0,0,0,0,0,0,6,45,100,0,0,0
P.Wheeler,OLB,OAK,3,2012,0,0,0,0,0,0,0,0,0,0,0,7,0,0
R.Fitzpatrick,QB,CHI,4,2012,4,350,56.41025641,0,0,0,0,0,0,0,0,0,0,0
D.Murray,RB,DAL,4,2012,0,0,0,0,24,0,0,0,0,0,0,0,0,0
A.Roberts,WR,ARI,4,2012,0,0,0,0,0,2,118,6,0,0,0,0,0,0
J.Witten,TE,DAL,4,2012,0,0,0,0,0,1,112,13,0,0,0,0,0,0
G.Zuerlein,K,STL,4,2012,0,0,0,0,0,0,0,0,4,60,100,0,0,0
P.Peterson,CB,ARI,4,2012,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A.Smith,QB,HOU,5,2012,3,303,75,0,0,0,0,0,0,0,0,0,0,0
J.Charles,RB,KC,5,2012,0,0,0,0,140,0,0,0,0,0,0,0,0,0
B.Marshall,WR,CHI,5,2012,0,0,0,0,0,1,144,12,0,0,0,0,0,0
V.Davis,TE,SF,5,2012,0,0,0,0,0,0,106,5,0,0,0,0,0,0
A.Vinatieri,K,IND,5,2012,0,0,0,0,0,0,0,0,3,50,75,0,0,0
M.Adams,SS,DEN,5,2012,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A.Rodgers,QB,DEN,6,2012,6,338,64.86486486,0,0,0,0,0,0,0,0,0,0,0
A.Peterson,RB,MIN,6,2012,0,0,0,0,79,0,0,0,0,0,0,0,0,0
J.Nelson,WR,GB,6,2012,0,0,0,0,0,3,121,9,0,0,0,0,0,0
A.Gates,TE,SD,6,2012,0,0,0,0,0,2,81,6,0,0,0,0,0,0
B.Walsh,K,MIN,6,2012,0,0,0,0,0,0,0,0,4,37,100,0,0,0
M.Adams,SS,DEN,6,2012,0,0,0,0,0,0,0,0,0,0,0,7,0,0
D.Brees,QB,DET,7,2012,4,377,72.97297297,0,0,0,0,0,0,0,0,0,0,0
F.Gore,RB,SF,7,2012,0,0,0,0,131,0,0,0,0,0,0,0,0,0
V.Jackson,WR,TB,7,2012,0,0,0,0,0,1,216,7,0,0,0,0,0,0
R.Gronkowski,TE,NE,7,2012,0,0,0,0,0,2,78,6,0,0,0,0,0,0
D.Bailey,K,DAL,7,2012,0,0,0,0,0,0,0,0,4,49,100,0,0,0
L.Kuechly,MLB,CAR,7,2012,0,0,0,0,0,0,0,0,0,0,0,8,0,0
T.Brady,QB,SF,8,2012,4,304,65.71428571,0,0,0,0,0,0,0,0,0,0,0
D.Martin,RB,TB,8,2012,0,0,0,1,135,0,0,0,0,0,0,0,0,0
D.Thomas,WR,DEN,8,2012,0,0,0,0,0,1,137,7,0,0,0,0,0,0
R.Gronkowski,TE,NE,8,2012,0,0,0,0,0,2,146,8,0,0,0,0,0,0
S.Janikowski,K,OAK,8,2012,0,0,0,0,0,0,0,0,4,36,100,0,0,0
M.Burnett,SS,GB,8,2012,0,0,0,0,0,0,0,0,0,0,0,9,1,0
A.Rodgers,QB,PHI,9,2012,4,218,46.66666667,0,0,0,0,0,0,0,0,0,0,0
D.Martin,RB,TB,9,2012,0,0,0,4,251,0,0,0,0,0,0,0,0,0
B.Marshall,WR,CHI,9,2012,0,0,0,0,0,3,122,9,0,0,0,0,0,0
B.Myers,TE,OAK,9,2012,0,0,0,0,0,2,59,8,0,0,0,0,0,0
P.Dawson,K,CLE,9,2012,0,0,0,0,0,0,0,0,5,41,100,0,0,0
L.David,OLB,TB,9,2012,0,0,0,0,0,0,0,0,0,0,0,14,0,0
M.Stafford,QB,KC,10,2012,3,329,66.66666667,0,0,0,0,0,0,0,0,0,0,0
A.Peterson,RB,MIN,10,2012,0,0,0,1,171,0,0,0,0,0,0,0,0,0
J.Maclin,WR,PHI,10,2012,0,0,0,0,0,1,93,8,0,0,0,0,0,0
